Study Hours,Sleep Hours,Last Exam,Internet Access,Academy,Family Income,CoCurricular,Stress Level,Health,Percentage
13.11,5.84,90.41,Yes,No,Low,Low,Low,Average,75.12
15.78,4.6,80.68,Yes,No,Moderate,High,Moderate,Average,70.16
0.72,6.0,62.11,Yes,No,Low,Low,Low,Average,49.09
4.02,7.95,63.91,Yes,No,High,Low,Moderate,Average,46.27
18.7,8.59,75.71,Yes,No,Low,Moderate,Moderate,Average,62.51
21.22,7.82,61.41,Yes,Yes,Low,Moderate,High,Average,66.32
9.54,7.67,69.51,No,No,Moderate,High,Moderate,Average,45.18
13.54,6.85,89.75,Yes,Yes,Moderate,Low,Moderate,Poor,79.05
16.77,7.93,57.56,Yes,Yes,Moderate,Moderate,Moderate,Average,66.14
19.16,7.34,63.28,Yes,No,High,Moderate,Low,Average,68.75
2.83,9.17,65.39,Yes,Yes,Moderate,Moderate,Moderate,Poor,43.92
9.68,6.88,100.0,Yes,Yes,Moderate,Low,High,Average,57.76
13.0,8.61,79.12,Yes,Yes,Moderate,Low,Low,Poor,63.95
19.22,8.05,86.98,Yes,Yes,Moderate,Low,Moderate,Average,89.39
29.99,7.88,81.52,Yes,Yes,Moderate,Moderate,Moderate,Poor,94.28
13.63,4.59,82.53,Yes,Yes,Moderate,Low,Moderate,Good,70.62
6.56,8.12,77.1,Yes,Yes,Moderate,High,Moderate,Good,65.9
17.41,6.85,75.48,Yes,No,Moderate,Moderate,Moderate,Average,70.72
22.93,6.47,48.24,No,No,Moderate,Moderate,Moderate,Average,56.05
15.65,5.22,75.37,Yes,Yes,Moderate,Moderate,Moderate,Good,71.47
9.56,6.99,68.37,Yes,No,Moderate,Low,High,Good,65.95
20.75,7.04,78.18,Yes,Yes,Moderate,Moderate,Moderate,Good,86.85
18.98,5.44,68.94,Yes,Yes,High,Low,Moderate,Average,73.71
8.84,5.23,81.45,Yes,No,Low,High,Moderate,Average,55.08
17.29,7.58,84.1,Yes,Yes,Moderate,Moderate,Moderate,Average,73.44
20.98,8.05,26.32,Yes,No,High,Low,Moderate,Average,77.48
22.09,7.23,63.49,Yes,Yes,High,Moderate,High,Average,78.47
14.6,8.38,42.14,Yes,No,Moderate,Low,High,Good,54.02
12.85,6.9,73.58,Yes,Yes,Moderate,Moderate,Moderate,Average,64.02
22.36,6.93,65.49,Yes,No,Low,High,High,Good,67.84
7.74,5.9,90.34,Yes,Yes,Moderate,High,Moderate,Good,75.15
17.63,5.13,73.11,No,Yes,Low,Moderate,Moderate,Average,63.21
6.78,9.23,62.72,Yes,Yes,Moderate,Moderate,Moderate,Average,58.81
21.39,8.36,84.08,Yes,Yes,High,Low,Moderate,Poor,76.7
13.45,5.33,65.23,Yes,Yes,High,Low,High,Average,60.54
22.61,7.19,62.53,Yes,No,Moderate,Moderate,Moderate,Average,73.73
17.95,6.88,75.9,Yes,No,Low,Moderate,Moderate,Average,70.56
7.66,6.67,94.19,Yes,No,Moderate,High,Low,Good,69.66
23.55,6.51,82.8,Yes,No,Moderate,High,Moderate,Average,83.62
24.31,7.46,78.5,No,No,Moderate,Moderate,Moderate,Average,81.81
20.29,7.98,100.0,Yes,No,Low,Moderate,High,Average,75.11
10.43,7.48,59.01,Yes,No,Low,Moderate,Moderate,Average,46.79
13.16,6.86,58.68,Yes,No,Moderate,Moderate,Moderate,Average,48.75
15.87,6.81,72.18,Yes,Yes,Moderate,Low,Low,Average,71.63
10.78,8.12,92.73,Yes,Yes,High,Moderate,Low,Good,83.01
25.15,7.56,55.87,Yes,No,Low,Low,Low,Average,69.8
15.87,7.09,96.32,No,Yes,Moderate,Moderate,High,Good,67.7
0.0,6.96,48.41,No,Yes,High,Low,Moderate,Good,36.49
17.04,7.41,68.18,Yes,No,Moderate,Moderate,Low,Good,77.44
12.91,6.44,72.6,Yes,No,Low,Moderate,Moderate,Good,53.59
14.55,7.99,56.76,Yes,No,Moderate,Moderate,Moderate,Average,58.57
12.79,5.71,60.68,Yes,No,High,High,Moderate,Poor,62.33
19.84,6.51,81.95,Yes,No,Low,Moderate,Low,Average,72.37
21.72,7.73,91.62,Yes,Yes,High,Moderate,Low,Average,90.23
16.7,5.64,38.28,Yes,Yes,Low,Moderate,Moderate,Average,55.07
12.96,5.11,72.7,No,Yes,Low,High,High,Average,51.86
14.75,7.08,68.3,Yes,Yes,High,Moderate,Moderate,Average,71.27
15.12,4.96,71.61,Yes,Yes,High,Low,High,Poor,62.46
10.19,5.44,65.25,Yes,Yes,Low,High,High,Poor,53.6
18.47,7.91,50.64,Yes,No,Low,Moderate,Low,Average,69.83
17.76,6.75,93.13,Yes,No,High,Low,High,Good,88.35
24.24,8.54,87.39,Yes,No,Moderate,High,Low,Average,100.0
22.53,5.55,68.44,Yes,No,Low,Low,Moderate,Average,72.27
10.89,6.89,62.68,Yes,Yes,Moderate,Moderate,Moderate,Average,58.52
19.92,7.48,60.86,Yes,Yes,Moderate,Moderate,Moderate,Average,70.51
9.29,5.6,31.22,Yes,Yes,High,Moderate,Moderate,Average,40.02
19.18,8.24,75.31,Yes,No,Low,Low,Low,Good,69.07
11.9,7.61,81.7,Yes,Yes,Low,Low,High,Average,57.71
8.86,5.07,72.07,Yes,Yes,Moderate,High,Low,Average,66.05
16.68,6.95,68.7,Yes,Yes,Moderate,Moderate,High,Good,64.08
0.0,7.46,72.0,No,No,Moderate,Moderate,High,Good,46.29
4.49,6.29,57.2,Yes,Yes,Moderate,Moderate,Moderate,Good,47.8
13.94,5.22,62.51,Yes,No,Low,Moderate,Moderate,Average,59.83
15.49,7.33,67.51,No,Yes,Moderate,Low,High,Average,63.74
12.78,9.65,80.45,Yes,Yes,Low,Low,Low,Good,71.47
5.52,6.54,90.68,No,Yes,Low,High,Moderate,Average,64.12
10.09,8.88,66.56,Yes,Yes,High,Low,Moderate,Average,73.24
17.35,6.1,54.33,Yes,Yes,Moderate,High,Low,Average,70.62
18.49,7.26,70.53,No,Yes,High,High,Low,Good,68.87
14.9,7.93,100.0,Yes,Yes,Moderate,Moderate,Moderate,Average,76.41
21.94,6.99,55.63,No,Yes,High,Moderate,Low,Good,69.08
17.38,6.64,83.29,Yes,Yes,Low,Low,Moderate,Average,70.61
10.52,7.87,90.04,Yes,Yes,Low,Moderate,Low,Good,69.77
13.32,9.27,64.6,Yes,Yes,Low,Moderate,Moderate,Good,68.72
6.58,7.36,59.49,Yes,Yes,Moderate,Moderate,Moderate,Average,44.71
14.35,6.38,78.62,Yes,Yes,Moderate,Low,Moderate,Good,58.66
21.67,6.77,75.3,No,No,High,Moderate,High,Average,76.69
19.11,10.02,80.42,Yes,No,Moderate,Moderate,Moderate,Average,86.12
23.41,7.16,100.0,No,Yes,Moderate,Moderate,Low,Average,79.47
13.18,6.29,72.51,No,Yes,Moderate,Moderate,High,Poor,49.39
23.08,5.63,52.12,Yes,No,Moderate,Moderate,Moderate,Poor,61.55
13.84,4.81,71.0,Yes,Yes,Low,Low,High,Good,53.82
23.83,7.44,73.62,Yes,No,Moderate,Low,Low,Average,88.99
14.87,7.79,89.01,Yes,Yes,Low,Low,Moderate,Average,72.68
19.24,6.52,67.05,Yes,No,High,Low,Low,Good,68.53
23.85,6.98,63.86,Yes,No,High,Moderate,Low,Average,85.48
13.84,5.6,49.43,Yes,Yes,Moderate,Low,High,Good,53.24
16.31,7.16,78.21,Yes,Yes,Moderate,Low,Low,Average,74.97
22.73,7.58,100.0,Yes,No,Moderate,Low,Moderate,Poor,88.04
14.2,6.36,66.66,Yes,No,Moderate,Moderate,Low,Average,54.77
7.07,9.03,76.78,No,Yes,Moderate,High,Moderate,Average,59.46
27.86,6.0,61.78,No,Yes,Low,High,Low,Good,84.85
12.18,7.34,50.78,No,Yes,Moderate,Low,Moderate,Average,47.88
15.95,8.02,76.51,Yes,No,High,Moderate,Low,Poor,70.69
21.94,6.91,70.42,Yes,Yes,Moderate,Moderate,Moderate,Poor,71.26
11.35,6.77,34.22,Yes,No,Low,Moderate,Low,Poor,45.32
8.95,5.29,94.15,Yes,Yes,Low,Moderate,Low,Average,59.14
16.52,8.63,76.24,Yes,No,Moderate,High,Moderate,Average,73.79
4.24,6.8,71.11,Yes,Yes,High,Moderate,Moderate,Good,54.59
13.27,7.64,63.67,Yes,No,High,Low,Moderate,Average,70.31
16.47,7.81,76.08,Yes,Yes,High,Moderate,Moderate,Average,76.79
13.38,6.25,76.77,No,Yes,High,Moderate,Low,Average,67.9
5.74,6.76,76.02,Yes,No,Moderate,Low,Moderate,Good,44.7
24.57,8.6,86.02,Yes,Yes,Low,Moderate,Moderate,Average,80.92
15.62,5.66,89.43,No,Yes,Moderate,Moderate,Moderate,Average,73.0
23.59,9.55,100.0,No,Yes,Moderate,Low,Low,Good,96.6
13.44,6.11,57.45,Yes,No,Moderate,High,Moderate,Poor,57.17
9.72,5.58,61.4,Yes,Yes,Low,Moderate,Moderate,Average,54.21
16.62,7.16,75.42,Yes,Yes,Moderate,Moderate,Moderate,Good,80.92
13.71,9.65,58.31,Yes,Yes,Low,Low,Moderate,Good,58.6
7.93,4.71,60.73,Yes,Yes,Moderate,Moderate,Low,Average,60.42
23.82,6.83,77.13,No,Yes,Low,Moderate,High,Average,73.58
11.27,7.57,83.51,Yes,Yes,High,Moderate,Moderate,Average,73.13
3.96,7.04,89.14,Yes,Yes,High,Low,High,Good,50.15
22.97,7.46,67.11,Yes,Yes,High,Moderate,Low,Good,90.84
11.97,6.14,76.95,Yes,Yes,Moderate,Moderate,Moderate,Average,59.58
11.35,6.28,73.64,Yes,Yes,Moderate,Moderate,Low,Average,65.39
4.41,6.82,70.26,Yes,Yes,Low,Low,High,Average,52.27
25.45,5.64,57.76,Yes,No,Moderate,Moderate,Moderate,Good,78.37
7.26,6.95,55.85,Yes,Yes,Moderate,Moderate,Moderate,Average,50.79
15.35,6.53,80.0,Yes,Yes,Low,High,High,Good,70.83
20.48,6.44,57.51,Yes,Yes,Moderate,Moderate,Moderate,Average,65.57
17.53,7.38,43.35,Yes,No,Moderate,Moderate,Moderate,Good,54.16
14.64,4.82,69.52,Yes,No,Moderate,Moderate,Low,Average,66.52
4.79,6.73,91.83,Yes,Yes,Low,Low,Moderate,Good,59.61
10.14,9.78,28.08,No,Yes,Moderate,Low,Low,Good,55.56
16.13,5.7,65.68,Yes,Yes,High,Moderate,Low,Average,66.15
10.28,8.54,80.13,Yes,Yes,Moderate,Moderate,Moderate,Good,63.44
16.22,7.07,42.65,Yes,Yes,Moderate,High,Low,Average,66.66
19.09,6.28,66.8,Yes,No,High,High,Low,Good,76.36
20.78,5.42,52.91,Yes,Yes,Moderate,Low,High,Average,53.32
7.64,7.17,54.89,Yes,Yes,Low,Low,Moderate,Average,43.41
28.18,8.74,63.96,Yes,Yes,High,Moderate,Moderate,Average,85.38
19.6,6.53,53.15,No,Yes,Moderate,Low,High,Average,49.77
14.99,6.9,51.91,Yes,No,Moderate,Moderate,Moderate,Poor,55.8
21.54,8.21,69.11,Yes,Yes,Low,Low,High,Average,73.6
29.19,7.41,100.0,Yes,Yes,Low,High,Moderate,Average,98.58
6.37,5.11,81.37,Yes,Yes,Low,Moderate,High,Good,60.52
13.65,7.12,85.16,Yes,No,Moderate,Low,High,Poor,59.1
0.73,8.81,81.96,Yes,Yes,Moderate,Moderate,High,Average,52.95
16.16,6.96,59.54,Yes,Yes,Low,Moderate,Low,Average,56.88
17.19,3.71,74.66,Yes,Yes,Low,Moderate,Moderate,Average,57.57
14.77,7.47,86.47,No,Yes,Moderate,Moderate,High,Good,74.54
11.07,6.76,82.43,No,Yes,Moderate,High,Moderate,Good,72.66
2.7,4.81,72.92,No,Yes,High,Moderate,Low,Average,46.79
17.24,4.98,77.8,Yes,Yes,Moderate,Moderate,Low,Average,76.03
23.73,8.17,100.0,Yes,No,High,Low,Moderate,Average,95.89
11.45,6.12,82.59,Yes,No,Moderate,Moderate,Low,Good,72.0
17.64,5.91,65.27,No,No,Moderate,Moderate,Moderate,Good,59.17
5.59,6.96,68.89,Yes,Yes,Low,Moderate,Moderate,Average,62.33
17.74,6.23,54.19,Yes,Yes,Moderate,Moderate,Low,Good,85.8
12.64,7.12,100.0,Yes,Yes,Low,Moderate,Moderate,Good,72.69
10.43,6.76,94.06,Yes,No,Moderate,High,Low,Average,71.77
10.44,5.56,71.25,No,Yes,Moderate,Moderate,Moderate,Average,58.12
12.64,6.39,100.0,No,Yes,Low,Low,High,Average,67.23
17.29,7.53,79.49,No,Yes,Moderate,Moderate,Moderate,Good,71.78
7.13,7.05,63.54,Yes,No,High,Moderate,Moderate,Good,60.44
12.62,6.9,83.6,Yes,No,Low,Moderate,High,Poor,54.97
14.75,9.32,75.98,Yes,Yes,Low,Moderate,Moderate,Average,64.58
8.41,7.88,82.57,Yes,No,Moderate,Moderate,Moderate,Poor,56.26
25.78,8.02,49.46,Yes,Yes,Moderate,Moderate,Moderate,Good,81.41
9.88,6.8,57.85,Yes,Yes,Moderate,High,Low,Average,61.27
10.98,7.26,92.33,Yes,Yes,Moderate,Low,Low,Poor,64.39
9.13,6.48,95.4,Yes,Yes,Low,Low,High,Good,61.15
25.79,7.93,91.23,Yes,No,Low,High,Low,Average,97.64
18.32,6.87,100.0,No,Yes,Low,Moderate,Moderate,Average,79.81
9.38,7.27,78.66,Yes,Yes,High,Low,Moderate,Good,67.57
21.64,7.19,77.61,Yes,Yes,Low,Low,Low,Average,79.08
16.2,6.98,56.3,Yes,Yes,Moderate,Moderate,High,Average,65.42
16.54,10.53,61.29,Yes,No,High,Moderate,High,Average,75.19
12.93,6.2,40.18,Yes,No,High,High,Low,Poor,50.48
10.5,6.19,65.18,Yes,No,Low,High,Moderate,Average,39.41
17.03,7.83,39.12,Yes,Yes,Moderate,Low,Moderate,Poor,45.94
11.73,6.29,86.21,No,Yes,Moderate,High,Moderate,Good,61.03
25.9,6.65,75.83,Yes,No,Low,Moderate,Moderate,Average,79.54
7.38,5.7,39.61,Yes,Yes,Moderate,Moderate,Low,Good,50.13
24.22,7.59,67.15,No,Yes,High,Moderate,Moderate,Average,83.48
14.33,7.61,99.51,No,Yes,Moderate,Moderate,Low,Good,76.46
16.79,6.62,68.12,Yes,No,Moderate,Moderate,Moderate,Average,63.48
20.0,7.86,55.02,Yes,No,Moderate,Moderate,High,Average,63.58
11.22,4.77,43.22,Yes,Yes,Moderate,High,Low,Good,54.09
20.19,6.15,43.67,Yes,No,Moderate,Moderate,Low,Average,61.37
0.0,6.8,78.03,Yes,No,Low,Low,Low,Average,57.23
10.68,5.59,63.49,Yes,Yes,High,Moderate,Moderate,Average,60.05
9.46,4.9,64.74,Yes,No,High,Low,High,Average,43.44
7.48,6.63,63.55,Yes,Yes,Low,High,Moderate,Average,51.54
13.71,7.83,67.9,Yes,No,Low,Moderate,Moderate,Average,58.66
17.31,8.54,51.59,Yes,Yes,Moderate,High,High,Average,62.59
19.22,6.34,74.74,Yes,Yes,Moderate,Low,Moderate,Average,68.69
16.45,7.88,48.66,Yes,No,High,Moderate,High,Average,55.1
11.01,7.76,58.66,Yes,Yes,Moderate,Low,Moderate,Average,47.29
17.21,8.46,85.16,Yes,No,Moderate,Moderate,High,Average,71.92
15.75,6.58,75.64,Yes,Yes,Moderate,Moderate,Moderate,Good,72.85
20.62,4.84,80.29,Yes,Yes,Moderate,Moderate,High,Poor,64.87
19.66,7.08,100.0,No,Yes,Moderate,Moderate,Moderate,Good,89.74
15.18,5.78,69.11,No,No,Moderate,Low,Moderate,Average,57.61
9.62,6.13,70.32,Yes,Yes,Low,Low,Low,Average,56.8
11.08,6.64,66.04,Yes,No,High,High,High,Good,62.18
11.7,6.59,63.35,Yes,Yes,Low,Moderate,Moderate,Good,58.59
13.11,7.17,54.84,Yes,Yes,Low,Moderate,Moderate,Poor,51.78
16.61,7.84,71.26,Yes,Yes,Moderate,Low,Moderate,Good,66.57
19.29,6.56,75.33,Yes,No,Moderate,Low,High,Average,73.46
14.69,7.47,76.16,Yes,No,Moderate,Low,Low,Poor,59.19
15.1,7.02,70.97,Yes,Yes,Moderate,Moderate,High,Average,68.25
15.86,8.12,83.89,Yes,No,Moderate,Moderate,Moderate,Poor,71.68
11.9,6.77,70.44,Yes,No,Moderate,Low,High,Average,52.51
9.45,6.91,63.86,Yes,Yes,Low,Moderate,Moderate,Average,55.1
4.47,6.55,56.1,Yes,Yes,High,Moderate,Moderate,Good,49.48
10.83,6.81,46.77,Yes,Yes,Moderate,Moderate,Moderate,Good,59.12
17.84,6.06,91.91,Yes,Yes,Moderate,Moderate,Moderate,Average,74.84
10.78,5.94,59.51,No,Yes,Moderate,Moderate,Low,Average,53.6
13.57,7.93,56.11,Yes,No,High,Low,Moderate,Poor,53.36
17.8,5.7,63.74,Yes,Yes,Moderate,Moderate,Moderate,Poor,57.6
18.12,6.62,65.82,Yes,No,Moderate,Low,Low,Good,71.86
8.52,8.22,94.58,Yes,No,Moderate,Moderate,Low,Average,77.39
20.98,6.58,65.08,Yes,No,Low,Moderate,High,Average,66.77
21.76,7.99,100.0,Yes,Yes,High,Low,Low,Good,98.3
8.22,6.29,70.96,Yes,Yes,Moderate,Moderate,Low,Average,58.48
10.06,5.74,100.0,Yes,No,Low,Moderate,Low,Good,62.43
22.15,5.09,83.41,Yes,Yes,High,Moderate,Moderate,Good,81.48
14.12,8.58,75.42,Yes,No,Moderate,Low,High,Average,59.91
1.68,5.64,93.67,Yes,Yes,High,Low,High,Average,52.93
6.6,7.9,86.83,Yes,Yes,Moderate,Moderate,High,Good,66.74
13.5,5.8,79.52,No,No,Moderate,Low,Moderate,Good,61.72
8.02,8.58,100.0,Yes,Yes,Moderate,Low,Moderate,Average,71.53
12.52,9.65,62.52,Yes,No,Moderate,Moderate,Moderate,Average,63.34
15.19,4.98,55.08,Yes,No,Low,Moderate,High,Average,49.51
23.77,5.7,59.86,Yes,No,High,Moderate,Moderate,Average,74.93
13.26,7.93,96.28,Yes,Yes,Low,Moderate,Moderate,Average,75.63
21.44,7.62,91.76,Yes,Yes,Moderate,Low,Moderate,Average,82.03
23.57,7.93,62.12,Yes,No,Low,Moderate,Moderate,Average,77.92
23.61,6.31,34.68,Yes,No,High,Moderate,Low,Average,63.31
16.71,9.39,66.91,No,Yes,Moderate,Moderate,Low,Good,66.87
3.22,7.14,54.8,Yes,Yes,High,Moderate,Moderate,Average,47.56
17.76,5.54,62.59,Yes,No,Moderate,Moderate,Moderate,Average,63.28
21.29,6.7,54.18,Yes,No,High,Moderate,Moderate,Good,72.03
14.51,5.56,45.86,Yes,No,Moderate,Low,High,Average,45.14
25.47,8.91,98.25,Yes,Yes,Moderate,Low,Moderate,Good,100.0
20.16,6.21,59.74,No,No,Moderate,Moderate,Moderate,Average,59.11
18.41,7.59,91.19,Yes,No,Low,Moderate,Moderate,Average,71.74
21.52,6.44,66.68,Yes,Yes,Moderate,High,Moderate,Average,79.13
17.0,6.26,53.04,Yes,Yes,High,Moderate,Low,Good,74.99
0.04,4.71,77.64,Yes,Yes,Moderate,Low,Low,Average,41.57
12.01,7.72,64.13,No,Yes,High,High,Moderate,Average,68.89
22.18,8.56,66.89,Yes,No,Low,Moderate,High,Good,72.1
10.15,5.9,72.17,Yes,Yes,Moderate,Low,Moderate,Average,55.94
13.66,5.15,57.82,Yes,Yes,Low,High,Low,Good,62.79
8.73,7.96,45.68,Yes,Yes,Moderate,Low,Low,Average,52.11
25.7,5.02,69.23,Yes,Yes,Moderate,Moderate,High,Good,82.35
25.09,8.46,84.46,Yes,Yes,Moderate,Low,Moderate,Average,100.0
9.7,5.91,56.48,Yes,No,Low,Moderate,Moderate,Good,44.67
15.88,5.68,72.31,Yes,No,Low,High,High,Average,58.13
10.92,7.3,92.58,No,No,Moderate,High,High,Average,60.8
18.69,5.75,68.65,Yes,No,Moderate,Low,Moderate,Average,76.5
18.06,6.15,71.29,Yes,Yes,Moderate,Moderate,Moderate,Good,65.31
19.87,7.42,70.83,Yes,No,Moderate,Moderate,Low,Average,75.64
16.99,4.09,59.76,Yes,No,Moderate,Moderate,High,Average,57.39
32.61,8.97,55.1,Yes,No,Low,Moderate,Low,Average,94.53
8.83,7.05,55.16,Yes,Yes,Moderate,Moderate,Moderate,Good,53.38
4.74,5.45,75.52,Yes,No,Moderate,Moderate,Moderate,Average,55.47
12.64,5.78,81.37,Yes,Yes,Moderate,Moderate,High,Poor,53.74
5.59,8.19,82.08,Yes,Yes,Moderate,Moderate,Moderate,Average,57.65
6.05,7.72,64.32,Yes,No,Low,Low,Moderate,Average,37.82
8.99,8.66,86.4,Yes,No,Moderate,Moderate,High,Poor,61.77
9.47,6.18,74.61,Yes,No,Moderate,Low,Moderate,Average,51.68
9.27,7.36,71.06,Yes,No,High,Low,Moderate,Average,58.55
18.11,7.51,19.91,Yes,Yes,Moderate,Moderate,Moderate,Average,59.97
11.96,7.83,57.74,No,No,Low,Moderate,High,Poor,37.3
13.92,8.35,47.18,Yes,Yes,High,High,Low,Average,72.63
20.37,6.14,79.41,Yes,No,Moderate,Moderate,Moderate,Average,80.62
10.4,6.86,71.43,Yes,Yes,Low,Moderate,Low,Average,59.96
13.41,6.27,53.92,Yes,Yes,Low,Moderate,Moderate,Average,53.68
17.19,6.94,74.57,Yes,No,Low,High,High,Average,62.06
3.35,7.84,48.65,Yes,Yes,High,Moderate,Moderate,Average,45.1
0.69,5.02,54.34,Yes,Yes,Moderate,Moderate,Moderate,Average,32.59
17.08,8.33,59.35,Yes,Yes,Moderate,Moderate,Moderate,Good,79.49
17.95,5.63,78.1,Yes,Yes,Moderate,Low,Low,Average,74.98
27.39,6.63,90.99,Yes,No,Moderate,Low,Moderate,Good,98.48
15.95,8.49,61.21,Yes,Yes,High,High,Low,Average,72.21
19.92,7.39,89.84,Yes,No,Moderate,Low,Moderate,Good,89.91
13.83,7.41,70.71,Yes,Yes,Moderate,Low,Low,Average,72.73
16.78,5.58,73.54,Yes,No,Low,Low,Low,Good,70.98
25.0,5.75,69.04,No,No,Moderate,Moderate,Moderate,Poor,72.51
2.26,8.13,67.04,Yes,Yes,Moderate,Low,Moderate,Good,51.09
17.48,6.29,76.59,Yes,Yes,Moderate,Low,Moderate,Good,77.9
27.81,6.41,81.1,Yes,Yes,Moderate,High,Moderate,Poor,91.52
16.69,8.16,56.73,Yes,No,Moderate,High,Low,Average,72.4
24.9,5.74,67.16,Yes,No,Moderate,Moderate,Low,Average,82.62
11.22,7.32,95.04,Yes,Yes,Moderate,Low,Low,Good,77.99
14.81,7.05,72.66,No,Yes,Moderate,Moderate,Moderate,Average,56.3
15.2,7.0,74.3,Yes,No,Moderate,High,Moderate,Poor,64.37
1.69,6.38,87.51,Yes,Yes,Moderate,High,Moderate,Good,54.04
7.99,6.3,62.48,No,Yes,Moderate,Low,Moderate,Average,40.68
8.42,5.71,69.49,No,No,Low,Moderate,Moderate,Good,50.67
19.93,7.58,82.25,Yes,No,Low,Moderate,Moderate,Average,83.7
20.23,6.2,88.58,No,Yes,Moderate,Low,Moderate,Good,67.63
16.94,8.16,34.52,Yes,Yes,High,Moderate,Low,Average,59.3
19.94,6.73,58.95,Yes,No,Moderate,Moderate,Moderate,Average,67.51
14.02,5.73,55.02,No,Yes,High,High,Moderate,Good,63.8
22.21,6.71,68.14,Yes,No,High,Low,Moderate,Average,75.07
15.05,6.51,56.16,Yes,No,Moderate,Low,High,Average,56.45
15.35,8.21,79.96,Yes,Yes,Moderate,Moderate,High,Good,78.93
13.41,6.56,72.59,Yes,No,Low,Moderate,High,Average,57.32
19.11,6.67,83.34,No,No,Moderate,Moderate,Moderate,Average,74.01
12.47,8.69,84.3,Yes,Yes,Moderate,Moderate,Moderate,Good,67.23
20.86,7.61,80.19,Yes,Yes,Low,Moderate,Low,Average,69.85
8.21,9.0,64.96,Yes,Yes,Low,Low,Low,Average,54.52
8.41,8.51,71.56,Yes,Yes,Moderate,Moderate,Moderate,Average,60.87
19.12,5.94,63.09,Yes,Yes,Moderate,Low,High,Poor,60.81
14.47,8.19,49.53,Yes,Yes,Low,High,Moderate,Average,60.38
12.28,8.83,84.31,Yes,Yes,High,Moderate,Moderate,Average,72.16
20.34,8.84,68.74,Yes,Yes,Moderate,Moderate,Low,Good,85.66
11.36,8.19,47.46,Yes,No,Low,High,Low,Average,54.47
13.8,8.16,78.05,Yes,Yes,Moderate,Low,Low,Average,73.14
23.4,6.64,66.64,Yes,No,Moderate,Low,Moderate,Average,75.48
24.23,6.0,39.1,Yes,Yes,Low,Moderate,Moderate,Good,63.92
24.43,6.58,49.39,Yes,Yes,Moderate,High,Moderate,Average,72.24
13.31,5.0,59.49,Yes,Yes,Moderate,Low,Low,Average,68.32
22.38,8.61,73.16,No,No,Moderate,High,Low,Poor,81.18
9.31,6.66,81.82,Yes,No,High,Moderate,Low,Good,68.45
9.56,8.55,81.31,Yes,No,Moderate,Moderate,Moderate,Good,67.79
0.9,5.52,79.04,No,No,Low,High,Low,Poor,37.26
25.04,8.3,69.48,Yes,Yes,Moderate,Low,Low,Poor,83.14
9.82,6.41,95.83,Yes,No,Moderate,Moderate,Moderate,Average,67.48
14.24,5.46,80.5,Yes,No,Moderate,Moderate,Moderate,Poor,58.24
9.54,8.95,73.33,Yes,No,High,Low,Low,Good,71.59
19.17,8.33,78.5,Yes,No,Low,Moderate,Low,Average,78.11
12.75,7.25,64.01,Yes,Yes,High,Low,Low,Good,67.04
7.17,7.04,69.14,Yes,No,High,Moderate,Low,Average,63.18
17.65,7.53,38.77,Yes,No,High,Moderate,High,Average,53.38
6.4,7.23,64.2,Yes,No,Moderate,Moderate,Moderate,Poor,41.44
9.98,6.05,96.4,Yes,No,Moderate,Low,Moderate,Average,69.45
2.36,6.51,72.23,Yes,Yes,Low,Low,Moderate,Average,39.4
6.46,9.35,71.6,Yes,No,Moderate,Low,Low,Average,61.87
16.07,10.21,84.98,Yes,No,Moderate,Low,High,Poor,78.45
3.21,8.88,75.37,Yes,Yes,Moderate,Low,High,Average,55.36
6.11,7.57,58.2,No,No,Moderate,Low,Low,Good,46.49
14.99,6.59,70.35,Yes,Yes,Low,Low,High,Average,55.26
11.74,6.04,52.97,No,Yes,Moderate,Moderate,Moderate,Average,54.4
26.95,6.12,72.75,Yes,Yes,High,Low,High,Average,83.69
26.0,6.34,57.43,Yes,No,Moderate,Low,Moderate,Average,66.24
9.79,9.58,83.92,No,Yes,Moderate,Moderate,Moderate,Average,68.79
18.34,9.17,62.35,Yes,No,Moderate,Low,Low,Average,71.84
19.5,7.9,57.63,No,Yes,Low,Low,High,Average,59.11
11.42,5.85,68.31,Yes,Yes,Low,Moderate,Moderate,Average,56.88
6.03,8.07,75.48,Yes,Yes,Moderate,Moderate,Low,Good,65.4
14.93,6.71,51.89,Yes,Yes,Low,Low,High,Poor,57.85
13.96,4.42,62.18,Yes,Yes,High,Low,High,Good,66.54
12.39,7.34,71.58,Yes,Yes,High,High,Moderate,Average,62.11
17.65,5.99,90.08,Yes,Yes,Moderate,Low,Moderate,Good,81.73
10.5,6.03,32.07,Yes,No,Moderate,High,High,Average,31.6
8.09,6.7,79.23,Yes,No,Moderate,Low,Moderate,Good,66.54
15.65,6.4,64.25,Yes,Yes,Moderate,High,Moderate,Average,72.4
17.32,6.96,62.58,Yes,Yes,Low,Moderate,Moderate,Average,60.93
7.94,6.9,59.78,Yes,Yes,Low,Moderate,Low,Good,54.58
20.57,4.75,64.54,Yes,No,Moderate,Low,Moderate,Average,70.59
4.38,8.82,79.31,Yes,No,High,High,High,Good,59.28
11.53,5.82,61.95,Yes,No,Low,Moderate,Low,Average,51.76
13.45,5.86,94.88,Yes,Yes,Moderate,Moderate,Moderate,Average,72.9
11.18,6.61,79.36,Yes,Yes,High,Moderate,High,Good,73.41
